"","year","month","pneu_ad","stdpop","time","pcv","pcv.lag1","pcv.lag3","pcv.lag6","pcv.lag9","rate","lag"
"76",2010,4,4501,7024200,76,1,1,1,1,0,6.40784715697161,8.56560233062392
"77",2010,5,4195,7024200,77,1,1,1,1,0,5.97221035847499,8.41205487329293
"78",2010,6,3688,7024200,78,1,1,1,1,0,5.25041997665214,8.34164861890131
"79",2010,7,3889,7024200,79,1,1,1,1,1,5.53657355997836,8.21283958467648
"80",2010,8,4156,7024200,80,1,1,1,1,1,5.91668802141169,8.26590733415575
"81",2010,9,4201,7024200,81,1,1,1,1,1,5.98075225648472,8.33230835221912
"82",2010,10,3708,7024200,82,1,1,1,1,1,5.27889297001794,8.34307787116938
"83",2010,11,3728,7024200,83,1,1,1,1,1,5.30736596338373,8.21824792668574
"84",2010,12,3950,7024200,84,1,1,1,1,1,5.62341618974403,8.22362717580548
"85",2011,1,4967,7327180.41923338,85,1,1,1,1,1,6.77886951843296,8.28147085789517
"86",2011,2,4659,7311515.5408016,86,1,1,1,1,1,6.37213991271802,8.51057131510735
"87",2011,3,4085,7309522.49476801,87,1,1,1,1,1,5.58860035374944,8.4465561118168
"88",2011,4,4014,7322347.58534065,88,1,1,1,1,1,5.48184848263149,8.3150770072941
"89",2011,5,3549,7325321.99385828,89,1,1,1,1,1,4.844838224143,8.29754352935628
"90",2011,6,3329,7320669.29969993,90,1,1,1,1,1,4.5473984190714,8.1744211526465
"91",2011,7,3284,7311047.72431706,91,1,1,1,1,1,4.49183225692425,8.11042723757502
"92",2011,8,3393,7330870.28751189,92,1,1,1,1,1,4.62837271282778,8.09681747057232
"93",2011,9,3324,7331080.59676952,93,1,1,1,1,1,4.53412011520476,8.12946976478423
"94",2011,10,3030,7331487.10034464,94,1,1,1,1,1,4.13285866636465,8.10892415597534
"95",2011,11,3097,7312965.55048709,95,1,1,1,1,1,4.23494405739915,8.01631789850341
"96",2011,12,3459,7334492.80521761,96,1,1,1,1,1,4.71607252452322,8.0381891799732
"97",2012,1,4130,7658381.71145329,97,1,1,1,1,1,5.39278421422046,8.14873480893717
"98",2012,2,4479,7634789.81294675,98,1,1,1,1,1,5.86656621824048,8.32603268595508
"99",2012,3,5548,7616261.61388196,99,1,1,1,1,1,7.28441364184209,8.4071550862073
"100",2012,4,4688,7610975.92229398,100,1,1,1,1,1,6.15952546409714,8.62119278143472
"101",2012,5,5394,7606248.00892485,101,1,1,1,1,1,7.09153842166454,8.45276133125685
"102",2012,6,4310,7570184.74926172,102,1,1,1,1,1,5.69338813087796,8.59304250369967
"103",2012,7,3632,7602399.43392293,103,1,1,1,1,1,4.7774390592969,8.36869318309779
"104",2012,8,3505,7616907.08902992,104,1,1,1,1,1,4.60160529599737,8.19753873972118
"105",2012,9,3163,7606285.11132662,105,1,1,1,1,1,4.15840315437287,8.16194579946869
"106",2012,10,3252,7614960.84663846,106,1,1,1,1,1,4.27054067052171,8.05927622330565
"107",2012,11,3369,7604654.49183602,107,1,1,1,1,1,4.4301815468629,8.0870254706677
"108",2012,12,3716,7625566.99336683,108,1,1,1,1,1,4.8730802617463,8.12237124340655
"109",2013,1,4662,7918346.48207959,109,1,1,1,1,1,5.88759283336591,8.22040309993373
"110",2013,2,4055,7904828.0666631,110,1,1,1,1,1,5.12977634150081,8.4471998195957
"111",2013,3,4480,7874818.51514006,111,1,1,1,1,1,5.68901999631711,8.30770596654951
"112",2013,4,4181,7832554.80043388,112,1,1,1,1,1,5.33797733501768,8.40737832540903
"113",2013,5,3881,7803135.67343337,113,1,1,1,1,1,4.97364157490339,8.33830573135656
"114",2013,6,3721,7775719.16404168,114,1,1,1,1,1,4.78540945409594,8.26384813136891
"115",2013,7,3819,7797116.34475339,115,1,1,1,1,1,4.89796462068925,8.22174772834662
"116",2013,8,3716,7830462.65331133,116,1,1,1,1,1,4.74556889487058,8.24774388722552
"117",2013,9,3580,7861732.44288402,117,1,1,1,1,1,4.55370368555395,8.22040309993373
"118",2013,10,3567,7853348.33748023,118,1,1,1,1,1,4.5420116957966,8.18311807939475
"119",2013,11,3405,7843305.31927978,119,1,1,1,1,1,4.34128197410613,8.17948018535889
"120",2013,12,4215,7901275.06596874,120,1,1,1,1,1,5.33458203240418,8.13300021858361
"121",2014,1,5112,8200293.80573865,121,1,1,1,1,1,6.23392298020172,8.34640487043596
"122",2014,2,4373,8195712.88114402,122,1,1,1,1,1,5.33571644519297,8.53934599605737
"123",2014,3,4928,8137247.94667421,123,1,1,1,1,1,6.05610156197112,8.38320455141292
"124",2014,4,4911,8160096.20861326,124,1,1,1,1,1,6.01831139541746,8.50268850521336
"125",2014,5,4244,8156485.88213992,125,1,1,1,1,1,5.20322116819082,8.49923286603924
"126",2014,6,3989,8127747.18902559,126,1,1,1,1,1,4.90787903121065,8.35326149973387
"127",2014,7,3608,8139680.24889502,127,1,1,1,1,1,4.43260655170059,8.29129585190541
"128",2014,8,3017,8147844.3949328,128,1,1,1,1,1,3.70281985487633,8.19090888118251
"129",2014,9,3029,8165007.93371434,129,1,1,1,1,1,3.70973307630588,8.01201823915906
"130",2014,10,3209,8175608.08966585,130,1,1,1,1,1,3.92509029885648,8.01598781102724
"131",2014,11,3157,8179385.73799715,131,1,1,1,1,1,3.85970304021025,8.07371464110986
"132",2014,12,3843,8252625.33153845,132,1,1,1,1,1,4.65669995378742,8.05737748855799
"133",2015,1,5296,8584876.34545662,133,1,1,1,1,1,6.16898809824186,8.25400859056484
"134",2015,2,4564,8530321.0723002,134,1,1,1,1,1,5.35032616160287,8.57470709761684
"135",2015,3,4149,8540619.67476387,135,1,1,1,1,1,4.85796131662391,8.42595471098197
"136",2015,4,4122,8468938.59774054,136,1,1,1,1,1,4.86719788132567,8.33062262033287
"137",2015,5,4104,8468012.14785513,137,1,1,1,1,1,4.84647391659624,8.3240937614504
"138",2015,6,4142,8442162.50514724,138,1,1,1,1,1,4.90632583473085,8.31971738685061
"139",2015,7,3654,8474139.43452008,139,1,1,1,1,1,4.31194226650926,8.32893404195553
"140",2015,8,3238,8505742.73996085,140,1,1,1,1,1,3.80683980105293,8.20357773693795
"141",2015,9,3219,8452740.90449427,141,1,1,1,1,1,3.80823218926357,8.08271113423758
"142",2015,10,3514,8512783.25353967,142,1,1,1,1,1,4.1279096334784,8.07682603129881
"143",2015,11,3297,8429678.55730643,143,1,1,1,1,1,3.91118116495951,8.16451026874704
"144",2015,12,3865,8507621.81305756,144,1,1,1,1,1,4.54298520189035,8.10076824307173
"145",2016,1,4383,8831176.108726,145,1,1,1,1,1,4.9630988512042,8.25971696102152
"146",2016,2,5462,8728722.17889649,146,1,1,1,1,1,6.25750240190429,8.38548870041881
"147",2016,3,6014,8730222.11832793,147,1,1,1,1,1,6.88871361860818,8.60557030203365
"148",2016,4,5760,8659366.87618125,148,1,1,1,1,1,6.65175651102583,8.70184536354847
"149",2016,5,5451,8546306.99366333,149,1,1,1,1,1,6.37819353323214,8.65869275368994
"150",2016,6,4361,8555958.17349391,150,1,1,1,1,1,5.09703286478216,8.60355435706428
"151",2016,7,4139,8520143.22913693,151,1,1,1,1,1,4.85789955484031,8.38045666784277
"152",2016,8,3643,8597949.48708889,152,1,1,1,1,1,4.23705676041771,8.32820949174873
"153",2016,9,3637,8618594.78730267,153,1,1,1,1,1,4.21994546646769,8.20056279700856
"154",2016,10,3665,8662812.55644638,154,1,1,1,1,1,4.230727579662,8.19891444498699
"155",2016,11,3623,8701139.79865353,155,1,1,1,1,1,4.16382230815398,8.20658361432075
"156",2016,12,4063,8741293.86308748,156,1,1,1,1,1,4.6480533244136,8.19505769089508
"157",2017,1,4391,9047498.2837342,157,1,1,1,1,1,4.85327530583149,8.30967689598773
"158",2017,2,4339,9067179.91288872,158,1,1,1,1,1,4.78539087311176,8.38731227056172
"159",2017,3,4831,8969003.03018454,159,1,1,1,1,1,5.38632887483883,8.37539918579835
"160",2017,4,4559,8980781.97685473,160,1,1,1,1,1,5.07639536484624,8.48280876455441
"161",2017,5,4571,8907906.70562708,161,1,1,1,1,1,5.13139635500731,8.42485858021344
"162",2017,6,4430,9005793.60602912,162,1,1,1,1,1,4.91905565883083,8.42748727833174
"163",2017,7,4840,9013478.95547863,163,1,1,1,1,1,5.36973573012907,8.39615486303918
"164",2017,8,3913,9070214.14185945,164,1,1,1,1,1,4.31412085624454,8.48466999971068
"165",2017,9,3602,8957568.79454092,165,1,1,1,1,1,4.02118039237967,8.27205962221041
"166",2017,10,3650,9032498.76037824,166,1,1,1,1,1,4.04096374306854,8.1892445257359
